word,frequency,length
இதழ்,2782795,3
ஒரு,1440712,2
என்று,820488,3
இந்த,733941,3
மற்றும்,528404,4
கதை,484225,2
வேண்டும்,465851,4
சிறுகதை,452426,4
இது,401675,2
எஸ்,400487,2
கதைகள்,382202,4
என்ற,364555,3
என,363357,2
மே,331901,1
நான்,329880,2
முதல்,319672,3
அவர்,312776,3
தமிழ்,304699,3
அந்த,296076,3
ஆனால்,283353,3
மேலும்,278860,3
உள்ள,277489,3
பற்றி,271616,3
என்பது,248643,4
என்ன,236998,3
இந்திய,235393,4
என்,232615,2
அரசு,219781,3
இருந்து,216104,4
காதல்,214850,3
தான்,209763,2
பல,207733,2
என்றால்,201480,4
மக்கள்,191854,4
இருக்கும்,190414,5
கடந்த,189920,4
ஆம்,189059,2
ஆர்,187554,2
சிறுகதைப்,186554,5
ம்,185729,1
சில,184582,2
எம்,183176,2
அது,183026,2
உள்ளது,181966,4
சிறுகதைகள்,181144,6
கதையாசிரியர்கள்,181090,9
கொண்டு,179250,3
ஆண்டு,174203,3
இல்லை,172885,3
குமார்,171931,3
அறிவியல்,160174,5
அல்லது,156820,4
வரும்,155443,3
செய்து,154333,3
தேதி,153324,2
இப்படி,152330,4
மூலம்,151199,3
சிறப்பு,149744,4
அவர்கள்,148261,5
மார்ச்,147228,3
ஏப்ரல்,146266,4
கடிதம்,145291,4
அக்டோபர்,144250,5
அதன்,143577,3
ஜூன்,143163,2
ஜனவரி,142410,4
அரசியல்,142342,5
குடும்பம்,142093,5
ஜூலை,142053,2
வரை,140863,2
ஆகஸ்ட்,139766,4
கண்ணன்,138598,4
தி,138350,1
பிப்ரவரி,138097,5
பெரிய,137699,3
பி,137241,1
கட்டுரை,135249,4
சி,134934,1
நவம்பர்,134704,5
டிசம்பர்,133992,5
செப்டம்பர்,133065,6
தனது,131998,3
அப்பா,131428,3
படிக்க,130485,4
கே,128219,1
இன்று,127984,3
உலக,127668,3
எப்படி,127386,4
மத்திய,126606,4
கதைகளில்,123823,5
மகள்,123816,3
சிறப்பிதழ்,122629,6
போன்ற,121537,3
போது,121434,2
டி,121034,1
இரா,120147,2
கி,119887,1
குறித்து,118835,4
மாதம்,116288,3
புதிய,116163,3
சொல்வனம்,114804,5
சென்னை,114384,3
நா,113654,1
வந்து,113611,3
இரண்டு,113405,4
ரூ,111063,1
செய்ய,110898,3
தலைவர்,109690,4
தொடர்ந்து,109667,5
பேய்,109430,2
தமிழக,108718,4
நேற்று,108708,3
என்றும்,108564,4
தத்துவ,107926,4
தன்,107800,2
பிறகு,107494,3
அடுத்தநாள்,106113,6
அப்பாவா,105888,4
முதலிரவுக்கு,105642,7
இதில்,104744,3
நல்ல,104471,3
ஊராட்சி,104081,4
ஆகும்,103999,3
அதிகம்,103904,4
நிலையில்,103898,4
சொன்ன,103627,3
அவரது,102141,4
மழை,101867,2
இவர்,100865,3
எந்த,100581,3
நாம்,100434,2
ஒன்று,99654,3
இருந்தது,99626,5
நகைச்சுவை,98603,5
இருக்கிறது,98359,6
என்றார்,98220,4
இருந்த,97547,4
மணி,97492,2
எழுத்துக்கலைபற்றி,96919,10
சுஜாதா,95256,3
மட்டுமே,94957,4
சேர்ந்த,93884,4
பேர்,93709,2
அரவிந்தன்,93609,6
மட்டும்,93443,4
இசை,93375,2
வருகிறது,93215,5
அதை,92608,2
காமம்,91766,3
கதைப்பதிவு,91375,6
பின்னர்,91274,4
முடியும்,91100,4
ஓர்,90897,2
எனக்கு,90836,4
சு,90779,1
அவன்,90695,3
மீது,90618,2
ஜெயமோகன்,90449,5
கொண்ட,90176,3
பெண்கள்,89738,4
வந்த,89379,3
குழு,89090,2
ராஜா,88681,2
தேர்வு,88405,3
நாள்,88144,2
வி,87857,1
ல்,87616,1
ஜான்,87034,2
தற்போது,86488,4
இதனால்,86189,4
மிகவும்,86125,4
இதழ்கள்,84610,5
கவிதை,84576,3
கொத்தனார்,84354,5
நேரம்,83564,3
பல்வேறு,83060,4
தகவல்,83009,4
அசோகமித்திரன்,82597,8
இலக்கியம்,82226,6
இருக்க,82220,4
என்பதை,81822,4
ஆகிய,81376,3
மு,80987,1
என்னும்,79970,4
கூட,79853,2
சென்று,79616,3
இராஜேஸ்வரி,79023,6
