word,frequency,length,category,tag_detail
இதழ்,2782795,3,NOUN,BASE_NOUN_CONSONANT_ழ்
சிறுகதை,452426,4,NOUN,BASE_NOUN
கதைகள்,382202,4,NOUN,BASE_NOUN_CONSONANT_ள்
தமிழ்,304699,3,NOUN,BASE_NOUN_CONSONANT_ழ்
அரசு,219781,3,NOUN,BASE_NOUN_VOWEL_சு
காதல்,214850,3,NOUN,NOMINAL_SUFFIX_தல்
மக்கள்,191854,4,NOUN,BASE_NOUN_CONSONANT_ள்
ஆண்டு,174203,3,NOUN,NOMINAL_SUFFIX_டு
அறிவியல்,160174,5,NOUN,BASE_NOUN_CONSONANT_ல்
மூலம்,151199,3,NOUN,BASE_NOUN_CONSONANT_ம்
சிறப்பு,149744,4,NOUN,NOMINAL_SUFFIX_பு
கடிதம்,145291,4,NOUN,BASE_NOUN_CONSONANT_ம்
அரசியல்,142342,5,NOUN,BASE_NOUN_CONSONANT_ல்
குடும்பம்,142093,5,NOUN,BASE_NOUN_CONSONANT_ம்
அப்பா,131428,3,NOUN,BASE_NOUN
மகள்,123816,3,NOUN,BASE_NOUN_CONSONANT_ள்
மாதம்,116288,3,NOUN,BASE_NOUN_CONSONANT_ம்
தலைவர்,109690,4,NOUN,KNOWN_BASE_NOUN
ஊராட்சி,104081,4,NOUN,NOMINAL_SUFFIX_சி
காமம்,91766,3,NOUN,BASE_NOUN_CONSONANT_ம்
பெண்கள்,89738,4,NOUN,BASE_NOUN_CONSONANT_ள்
தேர்வு,88405,3,NOUN,NOMINAL_SUFFIX_வு
இதழ்கள்,84610,5,NOUN,BASE_NOUN_CONSONANT_ள்
கவிதை,84576,3,NOUN,BASE_NOUN
நேரம்,83564,3,NOUN,BASE_NOUN_CONSONANT_ம்
தகவல்,83009,4,NOUN,BASE_NOUN_CONSONANT_ல்
கல்வி,78674,3,NOUN,BASE_NOUN
பயணம்,74377,4,NOUN,BASE_NOUN_CONSONANT_ம்
தேர்தல்,72745,4,NOUN,NOMINAL_SUFFIX_தல்
படம்,68740,3,NOUN,BASE_NOUN_CONSONANT_ம்
ஒருவர்,65140,4,NOUN,BASE_NOUN_CONSONANT_ர்
வரலாறு,64783,4,NOUN,BASE_NOUN_VOWEL_று
வெற்றி,64348,3,NOUN,BASE_NOUN
அமைச்சர்,63307,5,NOUN,KNOWN_BASE_NOUN
மாவட்டம்,62738,5,NOUN,BASE_NOUN_CONSONANT_ம்
அறிமுகம்,62465,5,NOUN,BASE_NOUN_CONSONANT_ம்
நிலைமை,62307,3,NOUN,NOMINAL_SUFFIX_மை
வளர்ச்சி,61459,5,NOUN,NOMINAL_SUFFIX_சி
பெயர்,60146,3,NOUN,BASE_NOUN_CONSONANT_ர்
முதல்வர்,59758,5,NOUN,KNOWN_BASE_NOUN
அறிவு,59635,3,NOUN,NOMINAL_SUFFIX_வு
காரணம்,59220,4,NOUN,BASE_NOUN_CONSONANT_ம்
உடல்,58704,3,NOUN,BASE_NOUN_CONSONANT_ல்
அறிஞர்,58499,4,NOUN,KNOWN_BASE_NOUN
கதவு,58141,3,NOUN,NOMINAL_SUFFIX_வு
மேகம்,53828,3,NOUN,BASE_NOUN_CONSONANT_ம்
வனப்பு,53025,4,NOUN,NOMINAL_SUFFIX_பு
பதிவு,52555,3,NOUN,NOMINAL_SUFFIX_வு
ஆய்வு,52042,3,NOUN,NOMINAL_SUFFIX_வு
நிறுவனம்,51466,5,NOUN,BASE_NOUN_CONSONANT_ம்
கட்சி,51317,3,NOUN,NOMINAL_SUFFIX_சி
முடிவு,50380,3,NOUN,NOMINAL_SUFFIX_வு
ஆசிரியர்,50284,5,NOUN,KNOWN_BASE_NOUN
அனுபவம்,50181,5,NOUN,BASE_NOUN_CONSONANT_ம்
பிரதமர்,49446,5,NOUN,BASE_NOUN_CONSONANT_ர்
தத்துவம்,49239,5,NOUN,BASE_NOUN_CONSONANT_ம்
முகப்பு,48747,4,NOUN,NOMINAL_SUFFIX_பு
சுட்டி,47712,3,NOUN,BASE_NOUN
உள்ளனர்,46972,5,NOUN,BASE_NOUN_CONSONANT_ர்
பகுதி,46806,3,NOUN,NOMINAL_SUFFIX_தி
இளம்,46361,3,NOUN,BASE_NOUN_CONSONANT_ம்
காலம்,45514,3,NOUN,BASE_NOUN_CONSONANT_ம்
உயர்,45049,3,NOUN,BASE_NOUN_CONSONANT_ர்
பணம்,44441,3,NOUN,BASE_NOUN_CONSONANT_ம்
குழந்தை,44250,4,NOUN,BASE_NOUN
விளக்கம்,43873,5,NOUN,BASE_NOUN_CONSONANT_ம்
தலைமை,43772,3,NOUN,NOMINAL_SUFFIX_மை
பாதுகாப்பு,43646,5,NOUN,NOMINAL_SUFFIX_பு
ஆகியோர்,41917,4,NOUN,BASE_NOUN_CONSONANT_ர்
செய்தி,41654,3,NOUN,NOMINAL_SUFFIX_தி
அடையாளம்,40443,5,NOUN,BASE_NOUN_CONSONANT_ம்
இரவு,40367,3,NOUN,NOMINAL_SUFFIX_வு
கவிதைகள்,39482,5,NOUN,BASE_NOUN_CONSONANT_ள்
அம்மா,39114,3,NOUN,BASE_NOUN
சட்டம்,38992,4,NOUN,KNOWN_BASE_NOUN
பள்ளி,38987,3,NOUN,BASE_NOUN_VOWEL_ளி
பதிவுகள்,38099,5,NOUN,BASE_NOUN_CONSONANT_ள்
உளவியல்,37719,5,NOUN,BASE_NOUN_CONSONANT_ல்
மனிதன்,37697,4,NOUN,BASE_NOUN_CONSONANT_ன்
செல்வன்,37569,4,NOUN,BASE_NOUN_CONSONANT_ன்
செயலாளர்,36959,5,NOUN,BASE_NOUN_CONSONANT_ர்
உதவி,35059,3,NOUN,BASE_NOUN
திருப்பம்,35014,5,NOUN,BASE_NOUN_CONSONANT_ம்
தொடர்கள்,34746,5,NOUN,BASE_NOUN_CONSONANT_ள்
பொறுப்பு,34679,4,NOUN,NOMINAL_SUFFIX_பு
மனைவி,34642,3,NOUN,BASE_NOUN
பயிற்சி,34219,4,NOUN,NOMINAL_SUFFIX_சி
உணவு,34217,3,NOUN,NOMINAL_SUFFIX_வு
சிகிச்சை,34093,4,NOUN,BASE_NOUN
தாக்கல்,33918,4,NOUN,BASE_NOUN_CONSONANT_ல்
சிலர்,33330,3,NOUN,BASE_NOUN_CONSONANT_ர்
பட்டியல்,33149,5,NOUN,BASE_NOUN_CONSONANT_ல்
வாழ்க்கை,33052,4,NOUN,KNOWN_BASE_NOUN
இதயம்,32864,4,NOUN,BASE_NOUN_CONSONANT_ம்
இயற்கை,32745,4,NOUN,KNOWN_BASE_NOUN
பலர்,32602,3,NOUN,BASE_NOUN_CONSONANT_ர்
